model,scope,attack,eps,restarts,n,n_clean_correct,n_success,accuracy,ci_low,ci_high,success_rate,mean_linf_all,mean_l2_all,mean_linf_success,mean_l2_success,median_l2_success,q1_l2_success,q3_l2_success,max_l2_success,mcnemar_p,device,torch_version,base_seed,cudnn_deterministic
natural,subset,none,,1,1000,934,,0.934,0.9168907240940241,0.9477876495405142,0.0,0.0,0.0,,,,,,,,Tesla T4,2.10.0+cu128,0,True
pgd_at,subset,none,,1,1000,792,,0.792,0.7657498688268167,0.8160153042176193,0.0,0.0,0.0,,,,,,,,Tesla T4,2.10.0+cu128,0,True
pgd_at,subset,fgsm,0.03137254901960784,1,1000,792,267,0.525,0.49401247046123636,0.555796191614486,0.3371212121212121,0.03137257695198059,1.7259535789489746,0.03137257695198059,1.7298978567123413,1.7379717826843262,1.7342290878295898,1.7388430833816528,1.7388432025909424,,Tesla T4,2.10.0+cu128,0,True
pgd_at,subset,pgd-20 x1,0.03137254901960784,1,1000,792,323,0.469,0.438247507417386,0.49998975160871834,0.4078282828282828,0.03137257695198059,1.6825146675109863,0.03137257695198059,1.685760736465454,1.6910022497177124,1.6783737540245056,1.700386881828308,1.726863980293274,,Tesla T4,2.10.0+cu128,0,True
pgd_at,subset,pgd-50 x1,0.03137254901960784,1,1000,792,327,0.465,0.4342791187506989,0.49598875434329004,0.4128787878787879,0.03137257695198059,1.689091444015503,0.03137257695198059,1.6929736137390137,1.698624610900879,1.6864136457443237,1.7081972360610962,1.7302483320236206,,Tesla T4,2.10.0+cu128,0,True
pgd_at,subset,pgd-20 x10,0.03137254901960784,10,1000,792,326,0.466,0.43527102980973204,0.49698918976728573,0.4116161616161616,0.03137257695198059,1.6830006837844849,0.03137257695198059,1.6856364011764526,1.690989375114441,1.6778912842273712,1.701930046081543,1.7264214754104614,0.25,Tesla T4,2.10.0+cu128,0,True
pgd_at,subset,pgd-50 x10,0.03137254901960784,10,1000,792,330,0.462,0.43130413072430196,0.4929867029206003,0.4166666666666667,0.03137257695198059,1.6894057989120483,0.03137257695198059,1.6925472021102905,1.6989111304283142,1.6866457164287567,1.7080739438533783,1.730893850326538,0.25,Tesla T4,2.10.0+cu128,0,True
pgd_at,subset,cw_l2,,1,1000,792,538,0.254,0.2279970750986118,0.2818856900762812,0.6792929292929293,0.08926289528608322,0.3861728310585022,0.1659161001443863,0.7177926301956177,0.6641475856304169,0.36512814462184906,1.0223329067230225,2.3066155910491943,,Tesla T4,2.10.0+cu128,0,True
pgd_at,subset,pgd-20 transfer,0.03137254901960784,10,1000,792,15,0.781,0.7543184071059555,0.8055309546251624,0.01893939393939394,0.03137257695198059,1.3298152685165405,0.03137257695198059,1.3046462535858154,1.2963838577270508,1.2627758979797363,1.3411410450935364,1.4464161396026611,,Tesla T4,2.10.0+cu128,0,True
pgd_at,subset,pgd-50 unbounded,1.0,1,1000,792,792,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.9698509573936462,25.82282829284668,0.9723954796791077,25.833402633666992,25.671051025390625,24.387041568756104,26.96381139755249,34.084983825683594,,Tesla T4,2.10.0+cu128,0,True
pgd_at,subset,pgd-20 x10 sweep,0.00784313725490196,10,1000,792,61,0.731,0.7026702288645861,0.7575618087150875,0.07702020202020202,0.007843166589736938,0.42913877964019775,0.007843166589736938,0.42928650975227356,0.4305444359779358,0.42943698167800903,0.4312486946582794,0.43277978897094727,,Tesla T4,2.10.0+cu128,0,True
pgd_at,subset,pgd-20 x10 sweep,0.01568627450980392,10,1000,792,126,0.666,0.6361818350568,0.6945476811259959,0.1590909090909091,0.01568630337715149,0.851982057094574,0.01568630151450634,0.8524073958396912,0.8555395007133484,0.8511178493499756,0.8588250428438187,0.8662827014923096,,Tesla T4,2.10.0+cu128,0,True
pgd_at,subset,pgd-20 x10 sweep,0.03137254901960784,10,1000,792,326,0.466,0.43527102980973204,0.49698918976728573,0.4116161616161616,0.03137257695198059,1.6830006837844849,0.03137257695198059,1.6856364011764526,1.690989375114441,1.6778912842273712,1.701930046081543,1.7264214754104614,,Tesla T4,2.10.0+cu128,0,True
pgd_at,subset,pgd-20 x10 sweep,0.06274509803921569,10,1000,792,640,0.152,0.13108250256297901,0.17558092134296735,0.8080808080808081,0.0627451092004776,3.2897377014160156,0.0627451166510582,3.2952632904052734,3.3117856979370117,3.259257733821869,3.349338114261627,3.42806339263916,,Tesla T4,2.10.0+cu128,0,True
pgd_at,full_test,none,,1,10000,7803,,0.7803,0.7720781087066547,0.7883066218067439,0.0,0.0,0.0,,,,,,,,Tesla T4,2.10.0+cu128,0,True
pgd_at,full_test,pgd-20,0.03137254901960784,10,10000,7803,3079,0.4724,0.4626275931728061,0.48219360353725516,0.3945918236575676,0.03137257695198059,1.6825278997421265,0.03137257695198059,1.685431957244873,1.6912063360214233,1.6776005625724792,1.7023651599884033,1.7264214754104614,,Tesla T4,2.10.0+cu128,0,True
