epoch,lr,train_loss,train_adv_acc,val_clean_acc,val_robust_acc,seconds
1,0.1,2.3443202204386395,0.14886666666666667,0.2119140625,0.169921875,237.10994462699998
2,0.1,2.0674981804529824,0.2306,0.361328125,0.2626953125,239.23378548799997
3,0.1,1.9711781812243991,0.26008888888888887,0.3935546875,0.2734375,239.39210143599996
4,0.1,1.902366355980767,0.28275555555555554,0.419921875,0.2890625,239.77956775300004
5,0.1,1.8399737216525607,0.3073777777777778,0.4462890625,0.322265625,239.02698880799994
6,0.1,1.786637789493137,0.3267777777777778,0.498046875,0.3115234375,239.769323644
7,0.1,1.7283170675065782,0.35044444444444445,0.525390625,0.33203125,239.9183152149999
8,0.1,1.6841625271691216,0.3651111111111111,0.556640625,0.3388671875,239.7708132119999
9,0.1,1.6459330904642742,0.3776888888888889,0.6064453125,0.345703125,238.89814438600024
10,0.1,1.610779888174269,0.3963777777777778,0.59765625,0.345703125,239.4156478069999
11,0.1,1.5851888492796156,0.40184444444444445,0.6123046875,0.3369140625,239.2036595210002
12,0.1,1.562006016667684,0.41124444444444447,0.595703125,0.330078125,238.97353972099972
13,0.1,1.543591619152493,0.41846666666666665,0.638671875,0.3671875,239.5515341649998
14,0.1,1.5225485681533812,0.42533333333333334,0.6318359375,0.3779296875,239.47434958799977
15,0.1,1.5079944340176052,0.4342,0.634765625,0.380859375,239.34435896900004
16,0.010000000000000002,1.3615800062391492,0.48593333333333333,0.73046875,0.4501953125,239.37427358899959
17,0.010000000000000002,1.31179262553321,0.5021777777777777,0.7216796875,0.466796875,239.25174959600054
18,0.010000000000000002,1.2910640753428142,0.5093333333333333,0.744140625,0.4638671875,238.7564214669992
19,0.010000000000000002,1.2724144086413913,0.5138888888888888,0.7373046875,0.4697265625,239.26312718099962
20,0.010000000000000002,1.2579983636856078,0.5187111111111111,0.7509765625,0.4736328125,239.31744639499993
21,0.010000000000000002,1.2442923250834148,0.5262222222222223,0.7568359375,0.470703125,239.36865274499996
22,0.010000000000000002,1.230386251089308,0.5313111111111111,0.73828125,0.474609375,239.45276843800002
23,0.0010000000000000002,1.1814801526387533,0.5482,0.763671875,0.486328125,239.39485351200074
24,0.0010000000000000002,1.1691287893507216,0.5508666666666666,0.767578125,0.4814453125,238.80557994300034
25,0.0010000000000000002,1.161401715426975,0.5561777777777778,0.7626953125,0.490234375,239.27265964300022
26,0.0010000000000000002,1.1556870596991644,0.5563777777777777,0.775390625,0.49609375,239.14801219899982
27,0.0010000000000000002,1.1511517752753364,0.5581555555555555,0.76953125,0.4931640625,239.21809415499956
28,0.0010000000000000002,1.1469931961695352,0.5591555555555555,0.78125,0.48828125,239.02691027000037
29,0.0010000000000000002,1.1390535373899673,0.5624222222222223,0.7783203125,0.4794921875,239.2774698230005
30,0.0010000000000000002,1.1386704552756415,0.5611777777777778,0.7744140625,0.4931640625,239.31283111700031
